model1,model2,symbol,avg_covariance,median_covariance,min_covariance,max_covariance
Claude,Cohere,0941.HK,6.263339999999995,0.6674999999999986,-0.37450000000000044,20.515499999999992
Claude,Cohere,1211.HK,1376.7773499999996,117.43499999999992,-295.52500000000026,5338.296749999999
Claude,Cohere,AMZN,98.14278999999999,88.06050000000006,3.631249999999998,237.9754999999999
Claude,Cohere,BABA,710.6714999999998,55.8845,-94.39749999999997,3461.0409999999993
Claude,Cohere,DTE.DE,0.7955099999999995,-0.002500000000000835,-0.3442000000000004,4.3119999999999985
Claude,Cohere,FXI,12.916539999999998,0.6920000000000002,-5.007999999999998,62.897499999999994
Claude,Cohere,GM,-16.04833,0.12599999999999767,-94.10594999999999,10.508699999999997
Claude,Cohere,IFNNY,11.388950000000005,0.04349999999999997,-7.601499999999991,61.05875000000001
Claude,Cohere,MBGYY,-2.32029,0.09240000000000027,-19.729,7.868999999999999
Claude,Cohere,SPX,71931.95749999999,15902.837500000005,-12638.984999999997,290715.19999999995
Claude,Cohere,T,4.318900000000001,0.6762499999999995,-0.08899999999999952,20.087250000000004
Claude,Deepseek,0941.HK,6.558929999999997,0.5457499999999986,0.010900000000002907,20.80149999999998
Claude,Deepseek,1211.HK,1431.9273499999997,203.69599999999983,-448.59900000000005,5316.6105
Claude,Deepseek,AMZN,103.63983000000005,85.78340000000001,4.2970500000000005,248.53729999999993
Claude,Deepseek,BABA,717.2425599999999,64.5552,-110.27034999999997,3480.9158499999994
Claude,Deepseek,DTE.DE,0.8340299999999996,0.02049999999999997,-0.30584999999999984,4.367499999999998
Claude,Deepseek,FXI,12.528179999999997,0.6750500000000015,-5.208550000000002,60.478999999999985
Claude,Deepseek,GM,-15.30583000000001,0.266999999999999,-91.10080000000002,10.782199999999992
Claude,Deepseek,IFNNY,11.363060000000003,0.08150000000000021,-8.764049999999997,60.95325000000001
Claude,Deepseek,MBGYY,-2.2606700000000006,0.10395000000000025,-19.77145,8.085449999999998
Claude,Deepseek,SPX,71576.11627999999,16851.25400000001,-12248.354750000024,283619.2730999999
Claude,Deepseek,T,4.317189999999999,0.6762499999999995,0.029250000000000113,19.5785
Claude,Doubao,0941.HK,7.478879999999997,0.5549999999999978,0.06919999999999978,25.172499999999992
Claude,Doubao,1211.HK,1587.68266,176.44999999999987,44.95749999999989,5597.4105
Claude,Doubao,AMZN,135.13394999999997,131.2649500000001,4.9892499999999975,261.76189999999986
Claude,Doubao,BABA,827.3272800000001,54.75940000000002,-102.63864999999996,4048.56455
Claude,Doubao,DTE.DE,1.5712999999999995,0.03375000000000024,-0.4844000000000006,6.938599999999999
Claude,Doubao,FXI,14.828779999999998,0.6708500000000002,-5.2331499999999975,72.67424999999999
Claude,Doubao,GM,-15.749520000000008,0.3179999999999997,-93.29410000000003,11.09744999999999
Claude,Doubao,IFNNY,13.317670000000003,0.09400000000000008,-7.766399999999983,69.9795
Claude,Doubao,MBGYY,-2.20357,0.08790000000000031,-20.93635,9.54355
Claude,Doubao,SPX,76231.54205,16738.300000000007,-8557.439699999994,281997.8699
Claude,Doubao,T,4.436259999999999,0.5847999999999991,-0.3759999999999999,21.301
Claude,GPT,0941.HK,8.200779999999991,0.5109999999999992,-0.6923499999999989,23.96304999999998
Claude,GPT,1211.HK,1606.52372,479.1068499999998,53.14574999999986,5279.9975
Claude,GPT,AMZN,118.92304499999997,147.23118999999988,4.656349999999993,264.8427499999999
Claude,GPT,BABA,746.5901070000001,64.27435000000003,15.511250000000024,3455.0153950000004
Claude,GPT,DTE.DE,0.810389,0.003399999999999636,-0.1987699999999992,4.318614999999999
Claude,GPT,FXI,11.550817999999994,0.6784150000000008,-5.460800000000002,60.01347499999997
Claude,GPT,GM,-16.174803000000004,0.27125000000000005,-90.787805,6.097865000000001
Claude,GPT,IFNNY,11.476743000000004,0.08525000000000023,-8.32820499999999,61.98200000000001
Claude,GPT,MBGYY,-2.259572999999999,0.1008000000000004,-19.764169999999996,8.2334
Claude,GPT,SPX,72570.726246,16855.471850000016,-4178.2199999999975,283241.99563
Claude,GPT,T,4.492701,0.75525,0.02474999999999999,19.489800000000002
Claude,Gemini,0941.HK,6.526679999999996,0.5109999999999992,0.00912499999999894,20.635625
Claude,Gemini,1211.HK,1421.14598,201.90699999999995,-445.57200000000023,5279.9975
Claude,Gemini,AMZN,102.67353800000004,85.38424000000008,4.522579999999995,244.538685
Claude,Gemini,BABA,711.8788870000001,64.46779999999998,-109.57293999999997,3455.0153950000004
Claude,Gemini,DTE.DE,0.8369219999999997,0.021250000000000147,-0.31343000000000043,4.318614999999999
Claude,Gemini,FXI,12.434107999999995,0.6784150000000008,-5.169309999999999,60.01347499999997
Claude,Gemini,GM,-15.268776000000003,0.2908399999999996,-90.787805,10.72293
Claude,Gemini,IFNNY,11.397179000000003,0.08490000000000009,-8.32820499999999,60.69332500000001
Claude,Gemini,MBGYY,-2.2850459999999995,0.09813000000000027,-19.764169999999996,8.006979999999999
Claude,Gemini,SPX,71442.44278800001,16855.471850000016,-12413.928459999992,283241.99563
Claude,Gemini,T,4.295466,0.6904799999999994,0.02762500000000012,19.489800000000002
Claude,Mistral,0941.HK,-271.3202699459431,0.12493599131527025,-1428.0069545652932,58.03910576951046
Claude,Mistral,1211.HK,651.268447858032,206.2048945990123,-4417.74679923364,5173.728834692599
Claude,Mistral,AMZN,-957.7533902127807,32.64047769247594,-5192.375369409861,283.68214795356215
Claude,Mistral,BABA,725.7181091946031,147.94107232523717,-180.59755378651832,2901.2258845628958
