country,model1,model2,avg_rcoeff,median_rcoeff,min_rcoeff,max_rcoeff
EU,Claude,Cohere,0.36400150688348804,0.7143637266691104,-0.659441863610158,0.9642661342160208
EU,Claude,Deepseek,0.37643186232957515,0.7762570220241903,-0.6104842590042705,0.9791760013057274
EU,Claude,Doubao,0.37585505101321,0.700161899451126,-0.784429001960037,0.9775149443206492
EU,Claude,GPT,0.274037498957232,0.7724486997605675,-0.8785412201634487,0.9785628970874976
EU,Claude,Gemini,0.3787290808161755,0.773271684771547,-0.6131935897440766,0.9785628970874976
EU,Claude,Mistral,0.12816393542739998,-0.0644472829845302,-0.9685927069596616,0.8902461147402864
EU,Claude,Qwen,0.40715746473970726,0.8068502275403706,-0.6057949117867832,0.9743473779717836
EU,Cohere,Claude,0.36400150688348804,0.7143637266691105,-0.659441863610158,0.9642661342160208
EU,Cohere,Deepseek,0.9840786822201093,0.9961975876826816,0.8350681592449207,0.9999210667318432
EU,Cohere,Doubao,0.970934528225936,0.9807886323461212,0.886990056968803,0.9995558397521652
EU,Cohere,GPT,0.8779688912752011,0.991428715328163,0.4129995515344511,0.9998934559457276
EU,Cohere,Gemini,0.9860827919481958,0.996518423999835,0.8663403022597685,0.9998934559457276
EU,Cohere,Mistral,0.5000187893026352,0.934748789017287,-0.9813420644368964,0.9982169797382406
EU,Cohere,Qwen,0.8047450533988948,0.9666869303346494,-0.201202520051208,0.9998419304791072
EU,Deepseek,Claude,0.37643186232957515,0.7762570220241902,-0.6104842590042705,0.9791760013057274
EU,Deepseek,Cohere,0.9840786822201093,0.9961975876826816,0.8350681592449207,0.9999210667318432
EU,Deepseek,Doubao,0.9807361601286129,0.9919364558103853,0.921552810057538,0.999959185238161
EU,Deepseek,GPT,0.8884809286989283,0.9981638000147663,0.4140129021108921,0.9999892051166436
EU,Deepseek,Gemini,0.9993063528942716,0.9998323483011012,0.9972003145365324,0.999997691372924
EU,Deepseek,Mistral,0.5246935855344181,0.9205284919241694,-0.983505833769666,0.9990992564070548
EU,Deepseek,Qwen,0.821126546115145,0.9881928757626324,-0.1755136893937058,0.9999287667189872
EU,Doubao,Claude,0.37585505101321,0.700161899451126,-0.784429001960037,0.9775149443206492
EU,Doubao,Cohere,0.970934528225936,0.9807886323461212,0.8869900569688031,0.9995558397521652
EU,Doubao,Deepseek,0.9807361601286129,0.9919364558103853,0.921552810057538,0.9999591852381612
EU,Doubao,GPT,0.8886166278309052,0.9867107469226744,0.4083582055808851,0.9999811808845576
EU,Doubao,Gemini,0.9832504369645672,0.9879574778790824,0.929427683004796,0.9999811808845576
EU,Doubao,Mistral,0.5194474597375477,0.9198123407231356,-0.9594798091494976,0.9999254235230256
EU,Doubao,Qwen,0.7908671814799706,0.939187625907834,-0.1598378853450611,0.998946851621512
EU,GPT,Claude,0.274037498957232,0.7724486997605675,-0.8785412201634486,0.9785628970874976
EU,GPT,Cohere,0.8779688912752011,0.9914287153281628,0.412999551534451,0.9998934559457276
EU,GPT,Deepseek,0.8884809286989284,0.9981638000147663,0.4140129021108922,0.9999892051166436
EU,GPT,Doubao,0.8886166278309052,0.9867107469226744,0.4083582055808851,0.9999811808845576
EU,GPT,Gemini,0.8890934998808581,0.999628484987764,0.4070021781022473,1.0
EU,GPT,Mistral,0.41553206095767004,0.8852917458195061,-0.9836706749865826,0.9990118085671856
EU,GPT,Qwen,0.6994570979140964,0.9038420851297626,-0.1753667115702704,0.999628484987764
EU,Gemini,Claude,0.3787290808161755,0.773271684771547,-0.6131935897440763,0.9785628970874976
EU,Gemini,Cohere,0.9860827919481958,0.9965184239998351,0.8663403022597685,0.9998934559457276
EU,Gemini,Deepseek,0.9993063528942716,0.999832348301101,0.9972003145365322,0.999997691372924
EU,Gemini,Doubao,0.9832504369645672,0.9879574778790824,0.9294276830047964,0.9999811808845576
EU,Gemini,GPT,0.889093499880858,0.999628484987764,0.4070021781022473,1.0
EU,Gemini,Mistral,0.5275586582111228,0.93471836322846,-0.9831355662909008,0.9990118085671856
EU,Gemini,Qwen,0.8215962662633401,0.9876421430149068,-0.1753667115702704,1.0
EU,Mistral,Claude,0.12816393542740004,-0.0644472829845302,-0.9685927069596616,0.8902461147402867
EU,Mistral,Cohere,0.5000187893026353,0.934748789017287,-0.9813420644368964,0.9982169797382406
EU,Mistral,Deepseek,0.5246935855344181,0.9205284919241696,-0.983505833769666,0.999099256407055
EU,Mistral,Doubao,0.5194474597375477,0.9198123407231354,-0.9594798091494976,0.9999254235230256
EU,Mistral,GPT,0.41553206095767004,0.885291745819506,-0.9836706749865828,0.9990118085671856
EU,Mistral,Gemini,0.5275586582111228,0.93471836322846,-0.9831355662909008,0.9990118085671856
EU,Mistral,Qwen,0.4222353546536851,0.8935223302786942,-0.949972992376292,0.9938896810170276
EU,Qwen,Claude,0.40715746473970726,0.8068502275403706,-0.6057949117867832,0.9743473779717834
EU,Qwen,Cohere,0.8047450533988948,0.9666869303346494,-0.201202520051208,0.9998419304791072
EU,Qwen,Deepseek,0.821126546115145,0.9881928757626324,-0.1755136893937057,0.9999287667189872
EU,Qwen,Doubao,0.7908671814799706,0.939187625907834,-0.1598378853450612,0.998946851621512
EU,Qwen,GPT,0.6994570979140964,0.9038420851297626,-0.1753667115702705,0.999628484987764
EU,Qwen,Gemini,0.8215962662633401,0.9876421430149068,-0.1753667115702705,1.0
EU,Qwen,Mistral,0.42223535465368506,0.8935223302786942,-0.949972992376292,0.9938896810170276
