industry,model1,model2,avg_covariance,median_covariance,min_covariance,max_covariance
index,Claude,Cohere,35972.43702,34.316874999999996,-12638.984999999997,290715.19999999995
index,Claude,Deepseek,35794.32222999998,33.44294999999999,-12248.354750000024,283619.2730999999
index,Claude,Doubao,38123.185415,39.209999999999994,-8557.439699999994,281997.8699
index,Claude,GPT,36291.138532,31.122937499999985,-4178.2199999999975,283241.99563
index,Claude,Gemini,35727.438448,33.184967499999985,-12413.928459999992,283241.99563
index,Claude,Mistral,4844.445049466702,32.91582097053308,-157162.42143824464,211201.8393803166
index,Claude,Qwen,-1185.12352900001,0.3529375000000003,-22418.654255000118,27046.775415000022
index,Cohere,Claude,35972.43702,34.316874999999996,-12638.984999999997,290715.19999999995
index,Cohere,Deepseek,60533.68849999999,1058.1749999999988,0.3250000000000009,441351.4999999999
index,Cohere,Doubao,61632.82779999999,1109.5725,0.3230000000000012,421708.49999999994
index,Cohere,GPT,57189.128200000014,1083.767,0.33025000000000015,439479.70000000007
index,Cohere,Gemini,60303.27775000001,1045.7795000000006,0.3285000000000006,439479.70000000007
index,Cohere,Mistral,45434.954339431024,37.742944433939925,-72030.54000314098,445308.0573585136
index,Cohere,Qwen,8396.970025000006,6.488624999999998,-9581.574999999968,59181.25500000001
index,Deepseek,Claude,35794.32222999998,33.44294999999999,-12248.354750000024,283619.2730999999
index,Deepseek,Cohere,60533.68849999999,1058.1749999999988,0.3250000000000009,441351.4999999999
index,Deepseek,Doubao,61350.02544999998,1300.459999999999,0.35250000000000103,415345.30299999984
index,Deepseek,GPT,56918.94460000001,1270.1822499999987,0.36,432974.5681000001
index,Deepseek,Gemini,59968.53467000001,1233.6454999999996,0.35850000000000043,432974.5681000001
index,Deepseek,Mistral,44383.71618711081,37.54048731062921,-75918.77537823495,439126.7051778937
index,Deepseek,Qwen,8369.96760500001,7.021175,-8746.61084999991,57670.339250000034
index,Doubao,Claude,38123.185415,39.209999999999994,-8557.439699999994,281997.8699
index,Doubao,Cohere,61632.82779999999,1109.5725,0.3230000000000012,421708.49999999994
index,Doubao,Deepseek,61350.02544999998,1300.459999999999,0.35250000000000103,415345.30299999984
index,Doubao,GPT,58123.775375000005,1326.11295,0.3590000000000003,413612.39440000005
index,Doubao,Gemini,61120.962994999994,1286.0254500000008,0.35675000000000084,413612.39440000005
index,Doubao,Mistral,39913.0197713856,42.48838517212588,-97190.92272037726,418717.23680354696
index,Doubao,Qwen,8370.168340000007,6.053324999999997,-23073.357899999974,56002.34485
index,GPT,Claude,36291.093884,30.899697499999984,-4178.2199999999975,283241.99563
index,GPT,Cohere,57189.06850000001,1083.767,0.33025000000000015,439479.70000000007
index,GPT,Deepseek,56918.87984000001,1270.1822499999987,0.36,432974.5681000001
index,GPT,Doubao,58123.717575,1326.11295,0.3590000000000003,413612.39440000005
index,GPT,Gemini,56704.84521700002,1255.8792150000006,0.36424999999999963,431136.2996800002
index,GPT,Mistral,40616.211488621935,34.26838196525153,-72584.89815347006,437029.716945619
index,GPT,Qwen,5255.70706000001,3.16007,-9401.894904999936,36425.40000000003
index,Gemini,Claude,35727.438448,33.184967499999985,-12413.928459999992,283241.99563
index,Gemini,Cohere,60303.27775000001,1045.7795000000006,0.3285000000000006,439479.70000000007
index,Gemini,Deepseek,59968.53467000001,1233.6454999999996,0.35850000000000043,432974.5681000001
index,Gemini,Doubao,61120.962994999994,1286.0254500000008,0.35675000000000084,413612.39440000005
index,Gemini,GPT,56704.90944100001,1255.8792150000006,0.36424999999999963,431136.2996800002
index,Gemini,Mistral,44151.66910643163,37.247474554988024,-75795.42627018271,437029.716945619
index,Gemini,Qwen,8269.030663500007,6.971127499999999,-9401.894904999936,57436.33215499997
index,Mistral,Claude,4844.445049466702,32.91582097053308,-157162.42143824464,211201.8393803166
index,Mistral,Cohere,45434.954339431024,37.742944433939925,-72030.54000314098,445308.0573585136
index,Mistral,Deepseek,44383.71618711081,37.54048731062921,-75918.77537823495,439126.7051778937
index,Mistral,Doubao,39913.0197713856,42.48838517212588,-97190.92272037726,418717.23680354696
index,Mistral,GPT,40616.26399852865,34.530931498847174,-72584.89815347006,437029.716945619
index,Mistral,Gemini,44151.66910643163,37.247474554988024,-75795.42627018271,437029.716945619
index,Mistral,Qwen,1557.5011091725542,4.167276649888382,-51932.35430486781,69490.47688646775
index,Qwen,Claude,-1185.12352900001,0.3529375000000003,-22418.654255000118,27046.775415000022
index,Qwen,Cohere,8396.970025000006,6.488624999999998,-9581.574999999968,59181.25500000001
index,Qwen,Deepseek,8369.96760500001,7.021175,-8746.61084999991,57670.339250000034
index,Qwen,Doubao,8370.168340000007,6.053324999999997,-23073.357899999974,56002.34485
index,Qwen,GPT,5255.77058100001,3.4776750000000005,-9401.894904999936,36425.40000000003
index,Qwen,Gemini,8269.030663500007,6.971127499999999,-9401.894904999936,57436.33215499997
index,Qwen,Mistral,1557.5011091725542,4.167276649888382,-51932.35430486781,69490.47688646775
