country,model1,model2,avg_rcoeff,median_rcoeff,min_rcoeff,max_rcoeff
US,Claude,Cohere,0.4792548822197372,0.6069050670271868,-0.6011553485770129,0.9943422867986712
US,Claude,Deepseek,0.5128895292849398,0.649230718385101,-0.588526298852212,0.9954361741467754
US,Claude,Doubao,0.526781550420947,0.6743851437540682,-0.5615638529406729,0.9934032585368576
US,Claude,GPT,0.5657877649310447,0.7359116809299397,-0.5898306569867751,0.997386072082777
US,Claude,Gemini,0.5148830024898727,0.6457338386104879,-0.5898306569867751,0.9966464659759332
US,Claude,Mistral,0.2627667104797954,0.4399899796524144,-0.9308240246351565,0.9536380316885028
US,Claude,Qwen,0.25862549087495873,0.2972556396344581,-0.8077726105179496,0.995895863574808
US,Cohere,Claude,0.4792548822197372,0.6069050670271867,-0.6011553485770129,0.9943422867986712
US,Cohere,Deepseek,0.9896859997586809,0.9996451715376062,0.9040950284747848,1.0
US,Cohere,Doubao,0.9719306327503867,0.991493911514864,0.8341370045767952,0.9996046802512047
US,Cohere,GPT,0.9269115949448491,0.9979533675463403,0.6445887330191153,0.9999827708149148
US,Cohere,Gemini,0.9881698365980759,0.9995235411426417,0.896493011882542,0.9999827708149148
US,Cohere,Mistral,0.6797674057840511,0.9649031884770201,-0.9446472595431366,0.9999346200868252
US,Cohere,Qwen,0.582714704460032,0.9375998026277186,-0.6484009751120355,0.9998332936026606
US,Deepseek,Claude,0.5128895292849397,0.6492307183851012,-0.5885262988522121,0.9954361741467754
US,Deepseek,Cohere,0.9896859997586809,0.9996451715376062,0.9040950284747846,1.0
US,Deepseek,Doubao,0.9801727762619683,0.9962069859807456,0.8187262321109172,1.0
US,Deepseek,GPT,0.9432424270740126,0.9982937768384674,0.6505502100923167,0.9999997516420294
US,Deepseek,Gemini,0.9983512325613304,0.9999883339778848,0.9804055496716796,0.9999997516420294
US,Deepseek,Mistral,0.684472733608796,0.9695431687108054,-0.9381614451666932,0.999990699334431
US,Deepseek,Qwen,0.5918044441903498,0.9846587756187124,-0.6482257947779724,0.9999833062519714
US,Doubao,Claude,0.526781550420947,0.6743851437540682,-0.5615638529406729,0.9934032585368576
US,Doubao,Cohere,0.9719306327503869,0.991493911514864,0.8341370045767953,0.9996046802512047
US,Doubao,Deepseek,0.9801727762619683,0.9962069859807456,0.8187262321109172,1.0
US,Doubao,GPT,0.9356763589693827,0.9966753779916735,0.5636176902803369,0.9998520043723028
US,Doubao,Gemini,0.9809248190366034,0.9971763780996488,0.8123809761912726,0.998782117236477
US,Doubao,Mistral,0.6389515148340614,0.9648498099283072,-0.8952882894236468,0.9989149657447915
US,Doubao,Qwen,0.6106038711603994,0.9744909467634967,-0.6638557207555611,0.999100723020782
US,GPT,Claude,0.5657877649310447,0.7359116809299397,-0.5898306569867751,0.997386072082777
US,GPT,Cohere,0.9269115949448491,0.9979533675463402,0.6445887330191153,0.9999827708149148
US,GPT,Deepseek,0.9432424270740126,0.9982937768384678,0.6505502100923167,0.9999997516420294
US,GPT,Doubao,0.9356763589693827,0.9966753779916735,0.5636176902803369,0.9998520043723028
US,GPT,Gemini,0.9460937063004173,0.9982157285635653,0.6509911821990926,1.0
US,GPT,Mistral,0.6536595205432645,0.9480911812126191,-0.831909039130361,0.9999912900464256
US,GPT,Qwen,0.5578587780941551,0.9518146657764097,-0.8348433359683112,0.9997054710501804
US,Gemini,Claude,0.5148830024898727,0.645733838610488,-0.5898306569867751,0.9966464659759332
US,Gemini,Cohere,0.9881698365980759,0.9995235411426417,0.8964930118825419,0.9999827708149148
US,Gemini,Deepseek,0.9983512325613304,0.9999883339778849,0.9804055496716796,0.9999997516420294
US,Gemini,Doubao,0.9809248190366034,0.9971763780996488,0.8123809761912726,0.9987821172364768
US,Gemini,GPT,0.9460937063004173,0.9982157285635656,0.6509911821990927,1.0
US,Gemini,Mistral,0.6851333676864316,0.9663513276818245,-0.9376367251808796,0.9999912900464256
US,Gemini,Qwen,0.5930320036387292,0.9994978786517588,-0.6478282143673935,1.0
US,Mistral,Claude,0.2627667104797954,0.43998997965241426,-0.9308240246351566,0.9536380316885028
US,Mistral,Cohere,0.679767405784051,0.9649031884770201,-0.9446472595431366,0.9999346200868252
US,Mistral,Deepseek,0.684472733608796,0.9695431687108054,-0.9381614451666934,0.999990699334431
US,Mistral,Doubao,0.6389515148340614,0.9648498099283072,-0.8952882894236468,0.9989149657447915
US,Mistral,GPT,0.6536595205432645,0.9480911812126191,-0.831909039130361,0.9999912900464254
US,Mistral,Gemini,0.6851333676864316,0.9663513276818244,-0.9376367251808796,0.9999912900464254
US,Mistral,Qwen,0.4733154139406547,0.8215606856945141,-0.6492083271503539,0.997824744805619
US,Qwen,Claude,0.2586254908749588,0.29725563963445806,-0.8077726105179496,0.995895863574808
US,Qwen,Cohere,0.582714704460032,0.9375998026277186,-0.6484009751120355,0.9998332936026604
US,Qwen,Deepseek,0.5918044441903498,0.9846587756187124,-0.6482257947779724,0.9999833062519714
US,Qwen,Doubao,0.6106038711603993,0.9744909467634966,-0.6638557207555611,0.9991007230207818
US,Qwen,GPT,0.5578587780941551,0.9518146657764096,-0.8348433359683111,0.9997054710501804
US,Qwen,Gemini,0.5930320036387292,0.9994978786517588,-0.6478282143673935,1.0
US,Qwen,Mistral,0.4733154139406546,0.8215606856945141,-0.649208327150354,0.9978247448056192
