time,model1,model2,avg_covariance,median_covariance,min_covariance,max_covariance
daily,Claude,Cohere,133.23307727272757,0.11460000000000005,0.017500000000000064,1332.0100000000032
daily,Claude,Deepseek,162.59518181818206,0.266999999999999,0.02049999999999997,1563.5421500000025
daily,Claude,Doubao,167.35870909090943,0.286200000000001,0.029250000000000113,1642.920000000004
daily,Claude,GPT,164.2297454545458,0.27125000000000005,0.021750000000000283,1592.075000000004
daily,Claude,Gemini,161.04060454545498,0.2908399999999996,0.021250000000000147,1548.2749500000048
daily,Claude,Mistral,145.15609719188913,0.28137616741496585,0.02293783459816759,1372.2286961437742
daily,Claude,Qwen,161.0512804545459,0.2899449999999996,0.021250000000000158,1548.2749500000048
daily,Cohere,Claude,133.23307727272757,0.11460000000000005,0.017500000000000064,1332.0100000000032
daily,Cohere,Deepseek,207.94834090909063,0.25250000000000017,0.01524999999999982,2048.2999999999975
daily,Cohere,Doubao,213.84504545454544,0.2525000000000001,0.025499999999999953,2140.0
daily,Cohere,GPT,211.59526136363638,0.21500000000000014,0.016875000000000064,2100.0
daily,Cohere,Gemini,205.52922272727284,0.2567,0.015900000000000004,2024.0250000000012
daily,Cohere,Mistral,217.78497134733925,0.20196184840227976,0.02221471414898659,2155.825661363851
daily,Cohere,Qwen,205.5383272727274,0.25534999999999985,0.01589999999999995,2024.0250000000012
daily,Deepseek,Claude,162.59518181818206,0.266999999999999,0.02049999999999997,1563.5421500000025
daily,Deepseek,Cohere,207.94834090909063,0.25250000000000017,0.01524999999999982,2048.2999999999975
daily,Deepseek,Doubao,260.03031818181796,0.35250000000000103,0.03599999999999982,2523.0999999999976
daily,Deepseek,GPT,258.2000227272725,0.3199999999999996,0.023749999999999973,2473.8749999999973
daily,Deepseek,Gemini,252.988959090909,0.35850000000000043,0.02304999999999989,2400.801499999999
daily,Deepseek,Mistral,263.3257442119658,0.33518272723873577,0.03325010701402778,2507.2130531146363
daily,Deepseek,Qwen,253.0026272727272,0.3585000000000007,0.02304999999999987,2400.801499999999
daily,Doubao,Claude,167.35870909090943,0.286200000000001,0.029250000000000113,1642.920000000004
daily,Doubao,Cohere,213.84504545454544,0.2525000000000001,0.025499999999999953,2140.0
daily,Doubao,Deepseek,260.03031818181796,0.35250000000000103,0.03599999999999982,2523.0999999999976
daily,Doubao,GPT,263.27731818181815,0.345,0.03750000000000024,2575.0
daily,Doubao,Gemini,257.182981818182,0.35675000000000084,0.0363500000000001,2494.8250000000016
daily,Doubao,Mistral,263.65863955162416,0.34376823507290993,0.041666516335451514,2562.7227862110376
daily,Doubao,Qwen,257.1963454545456,0.35675000000000096,0.03635000000000006,2494.8250000000016
daily,GPT,Claude,164.2297454545458,0.27125000000000005,0.021750000000000283,1592.075000000004
daily,GPT,Cohere,211.59526136363638,0.21500000000000014,0.016875000000000064,2100.0
daily,GPT,Deepseek,258.2000227272725,0.3199999999999996,0.023749999999999973,2473.8749999999973
daily,GPT,Doubao,263.27731818181815,0.345,0.03750000000000024,2575.0
daily,GPT,Gemini,255.35382500000014,0.33749999999999974,0.023875000000000167,2445.7750000000015
daily,GPT,Mistral,266.61911565812335,0.2886481968310508,0.02702075078372463,2563.458036821263
daily,GPT,Qwen,255.3667977272729,0.3362499999999996,0.023875000000000125,2445.7750000000015
daily,Gemini,Claude,161.04060454545498,0.2908399999999996,0.021250000000000147,1548.2749500000048
daily,Gemini,Cohere,205.52922272727284,0.2567,0.015900000000000004,2024.0250000000012
daily,Gemini,Deepseek,252.988959090909,0.35850000000000043,0.02304999999999989,2400.801499999999
daily,Gemini,Doubao,257.182981818182,0.35675000000000084,0.0363500000000001,2494.8250000000016
daily,Gemini,GPT,255.35382500000014,0.33749999999999974,0.023875000000000167,2445.7750000000015
daily,Gemini,Mistral,259.95732721559006,0.34137662093582255,0.033931048027533245,2473.6837275467756
daily,Gemini,Qwen,250.2624154545458,0.36235000000000045,0.023230000000000046,2374.0436500000037
daily,Mistral,Claude,145.15609719188913,0.28137616741496585,0.02293783459816759,1372.2286961437742
daily,Mistral,Cohere,217.78497134733925,0.20196184840227976,0.02221471414898659,2155.825661363851
daily,Mistral,Deepseek,263.3257442119658,0.33518272723873577,0.03325010701402778,2507.2130531146363
daily,Mistral,Doubao,263.65863955162416,0.34376823507290993,0.041666516335451514,2562.7227862110376
daily,Mistral,GPT,266.61911565812335,0.2886481968310508,0.02702075078372463,2563.458036821263
daily,Mistral,Gemini,259.95732721559006,0.34137662093582255,0.033931048027533245,2473.6837275467756
daily,Mistral,Qwen,259.96870221985023,0.3403109712018685,0.033931048027533224,2473.6837275467756
daily,Qwen,Claude,161.0512804545459,0.2899449999999996,0.021250000000000158,1548.2749500000048
daily,Qwen,Cohere,205.5383272727274,0.25534999999999985,0.01589999999999995,2024.0250000000012
daily,Qwen,Deepseek,253.0026272727272,0.3585000000000007,0.02304999999999987,2400.801499999999
daily,Qwen,Doubao,257.1963454545456,0.35675000000000096,0.03635000000000006,2494.8250000000016
daily,Qwen,GPT,255.3667977272729,0.3362499999999996,0.023875000000000125,2445.7750000000015
daily,Qwen,Gemini,250.2624154545458,0.36235000000000045,0.023230000000000046,2374.0436500000037
daily,Qwen,Mistral,259.96870221985023,0.3403109712018685,0.033931048027533224,2473.6837275467756
