industry,model1,model2,avg_covariance,median_covariance,min_covariance,max_covariance
auto,Claude,Cohere,452.8029099999998,0.52565,-295.52500000000026,5338.296749999999
auto,Claude,Deepseek,471.45361666666656,0.6072,-448.59900000000005,5316.6105
auto,Claude,Doubao,523.2431899999999,3.551999999999998,-93.29410000000003,5597.4105
auto,Claude,GPT,529.3631146666665,3.289724999999999,-90.787805,5279.9975
auto,Claude,Gemini,467.8640526666666,0.5666050000000002,-445.57200000000023,5279.9975
auto,Claude,Mistral,-102.07541140633187,0.28137616741496585,-4417.74679923364,5173.728834692599
auto,Claude,Qwen,532.962188,0.637435,-61.725655,5448.4094749999995
auto,Cohere,Claude,452.8029099999998,0.52565,-295.52500000000026,5338.296749999999
auto,Cohere,Deepseek,1303.6647,22.839999999999996,0.15850000000000009,13929.833999999999
auto,Cohere,Doubao,1306.0610666666666,22.272499999999994,0.13700000000000007,14796.0565
auto,Cohere,GPT,1167.4840433333336,21.427500000000002,0.15775000000000028,13830.876000000002
auto,Cohere,Gemini,1294.250236666667,22.8335,0.15315000000000004,13830.876000000002
auto,Cohere,Mistral,1124.0510628494853,16.385008700324363,-2604.535151730057,13791.218608331952
auto,Cohere,Qwen,1195.7651366666666,5.424999999999999,-6.923999999999998,14193.4721
auto,Deepseek,Claude,471.45361666666656,0.6072,-448.59900000000005,5316.6105
auto,Deepseek,Cohere,1303.6647,22.839999999999996,0.15850000000000009,13929.833999999999
auto,Deepseek,Doubao,1355.1671,23.28949999999999,0.15100000000000005,14792.717
auto,Deepseek,GPT,1205.0610833333333,22.275499999999994,0.17075000000000023,13827.748
auto,Deepseek,Gemini,1362.0810366666667,23.794449999999994,0.16645000000000001,13827.748
auto,Deepseek,Mistral,1229.6653003305426,8.645430241373818,-2664.535677645167,13789.92934944532
auto,Deepseek,Qwen,1238.0744399999999,5.731249999999996,-5.9656999999999965,14190.128299999998
auto,Doubao,Claude,523.2431899999999,3.551999999999998,-93.29410000000003,5597.4105
auto,Doubao,Cohere,1306.0610666666666,22.272499999999994,0.13700000000000007,14796.0565
auto,Doubao,Deepseek,1355.1671,23.28949999999999,0.15100000000000005,14792.717
auto,Doubao,GPT,1275.7712233333334,21.666999999999994,0.15025000000000027,14687.543000000001
auto,Doubao,Gemini,1345.294396666667,23.286799999999992,0.14665000000000003,14687.543000000001
auto,Doubao,Mistral,774.4583926993965,2.135012907740835,-3354.838003449632,14653.969487893486
auto,Doubao,Qwen,1301.08462,6.8474999999999975,-5.699099999999998,15072.0828
auto,GPT,Claude,529.3631146666665,3.289724999999999,-90.787805,5279.9975
auto,GPT,Cohere,1167.4840433333336,21.427500000000002,0.15775000000000028,13830.876000000002
auto,GPT,Deepseek,1205.0610833333333,22.275499999999994,0.17075000000000023,13827.748
auto,GPT,Doubao,1275.7712233333334,21.666999999999994,0.15025000000000027,14687.543000000001
auto,GPT,Gemini,1196.2220263333336,22.2687,0.16492500000000024,13729.492000000004
auto,GPT,Mistral,801.0122081592949,0.5402801672289265,-2704.1798783771333,13691.483897828013
auto,GPT,Qwen,1233.1061623333335,5.944549999999998,-5.94252,14089.291200000001
auto,Gemini,Claude,467.8640526666666,0.5666050000000002,-445.57200000000023,5279.9975
auto,Gemini,Cohere,1294.250236666667,22.8335,0.15315000000000004,13830.876000000002
auto,Gemini,Deepseek,1362.0810366666667,23.794449999999994,0.16645000000000001,13827.748
auto,Gemini,Doubao,1345.294396666667,23.286799999999992,0.14665000000000003,14687.543000000001
auto,Gemini,GPT,1196.2220263333336,22.2687,0.16492500000000024,13729.492000000004
auto,Gemini,Mistral,1220.6146841927498,8.261249538510107,-2643.4463673790665,13691.483897828013
auto,Gemini,Qwen,1229.0122866666668,5.693099999999998,-5.94252,14089.291200000001
auto,Mistral,Claude,-102.07541140633187,0.28137616741496585,-4417.74679923364,5173.728834692599
auto,Mistral,Cohere,1124.0510628494853,16.385008700324363,-2604.535151730057,13791.218608331952
auto,Mistral,Deepseek,1229.6653003305426,8.645430241373818,-2664.535677645167,13789.92934944532
auto,Mistral,Doubao,774.4583926993965,2.135012907740835,-3354.838003449632,14653.969487893486
auto,Mistral,GPT,801.0122081592949,0.5402801672289265,-2704.1798783771333,13691.483897828013
auto,Mistral,Gemini,1220.6146841927498,8.261249538510107,-2643.4463673790665,13691.483897828013
auto,Mistral,Qwen,686.4588379938391,1.9069977544040746,-7129.33416187607,14051.13737576297
auto,Qwen,Claude,532.962188,0.637435,-61.725655,5448.4094749999995
auto,Qwen,Cohere,1195.7651366666666,5.424999999999999,-6.923999999999998,14193.4721
auto,Qwen,Deepseek,1238.0744399999999,5.731249999999996,-5.9656999999999965,14190.128299999998
auto,Qwen,Doubao,1301.08462,6.8474999999999975,-5.699099999999998,15072.0828
auto,Qwen,GPT,1233.1061623333335,5.944549999999998,-5.94252,14089.291200000001
auto,Qwen,Gemini,1229.0122866666668,5.693099999999998,-5.94252,14089.291200000001
auto,Qwen,Mistral,686.4588379938391,1.9069977544040746,-7129.33416187607,14051.13737576297
