country,model1,model2,avg_covariance,median_covariance,min_covariance,max_covariance
US,Claude,Cohere,18004.592715,7.069974999999998,-12638.984999999997,290715.19999999995
US,Claude,Deepseek,17917.191867499994,7.5396249999999965,-12248.354750000024,283619.2730999999
US,Claude,Doubao,19088.840685,8.043349999999993,-8557.439699999994,281997.8699
US,Claude,GPT,18169.491797250004,5.3771074999999975,-4178.2199999999975,283241.99563
US,Claude,Gemini,17883.535754,7.622754999999998,-12413.928459999992,283241.99563
US,Claude,Mistral,2085.3501768128103,1.0743805860326203,-157162.42143824464,211201.8393803166
US,Claude,Qwen,-587.403535250005,0.4783524999999992,-22418.654255000118,27046.775415000022
US,Cohere,Claude,18004.592715,7.069974999999998,-12638.984999999997,290715.19999999995
US,Cohere,Deepseek,30371.541899999993,86.81624999999998,0.051000000000000094,441351.4999999999
US,Cohere,Doubao,30924.6455875,91.00374999999997,0.0510000000000001,421708.49999999994
US,Cohere,GPT,28694.131570000005,76.89962499999999,0.03649999999999995,439479.70000000007
US,Cohere,Gemini,30255.939907500004,86.69512500000005,0.04920000000000018,439479.70000000007
US,Cohere,Mistral,22856.960101608296,53.66918141817047,-72030.54000314098,445308.0573585136
US,Cohere,Qwen,4201.267068750003,4.647,-9581.574999999968,59181.25500000001
US,Deepseek,Claude,17917.191867499994,7.5396249999999965,-12248.354750000024,283619.2730999999
US,Deepseek,Cohere,30371.541899999993,86.81624999999998,0.051000000000000094,441351.4999999999
US,Deepseek,Doubao,30783.429124999988,92.92299999999994,0.05300000000000019,415345.30299999984
US,Deepseek,GPT,28559.345267500008,75.68507499999996,0.044500000000000074,432974.5681000001
US,Deepseek,Gemini,30088.647492500004,88.461825,0.05160000000000021,432974.5681000001
US,Deepseek,Mistral,22317.640456702757,54.842294613524345,-75918.77537823495,439126.7051778937
US,Deepseek,Qwen,4188.799865000006,4.7124749999999995,-8746.61084999991,57670.339250000034
US,Doubao,Claude,19088.840685,8.043349999999993,-8557.439699999994,281997.8699
US,Doubao,Cohere,30924.6455875,91.00374999999997,0.0510000000000001,421708.49999999994
US,Doubao,Deepseek,30783.429124999988,92.92299999999994,0.05300000000000019,415345.30299999984
US,Doubao,GPT,29166.3005875,81.746225,0.044500000000000074,413612.39440000005
US,Doubao,Gemini,30668.472835,92.80085000000001,0.0516000000000002,413612.39440000005
US,Doubao,Mistral,19986.70227668145,20.36113374818269,-97190.92272037726,418717.23680354696
US,Doubao,Qwen,4190.740740000003,5.005075000000001,-23073.357899999974,56002.34485
US,GPT,Claude,18169.491797250004,5.3771074999999975,-4178.2199999999975,283241.99563
US,GPT,Cohere,28694.131570000005,76.89962499999999,0.03649999999999995,439479.70000000007
US,GPT,Deepseek,28559.345267500008,75.68507499999996,0.044500000000000074,432974.5681000001
US,GPT,Doubao,29166.3005875,81.746225,0.044500000000000074,413612.39440000005
US,GPT,Gemini,28451.932922000007,75.55295749999996,0.04390000000000002,431136.2996800002
US,GPT,Mistral,20358.730861183325,19.742029333596577,-72584.89815347006,437029.716945619
US,GPT,Qwen,2627.9019060000055,3.1310724999999993,-9401.894904999936,36425.40000000003
US,Gemini,Claude,17883.535754,7.622754999999998,-12413.928459999992,283241.99563
US,Gemini,Cohere,30255.939907500004,86.69512500000005,0.04920000000000018,439479.70000000007
US,Gemini,Deepseek,30088.647492500004,88.461825,0.05160000000000021,432974.5681000001
US,Gemini,Doubao,30668.472835,92.80085000000001,0.0516000000000002,413612.39440000005
US,Gemini,GPT,28451.932922000007,75.55295749999996,0.04390000000000002,431136.2996800002
US,Gemini,Mistral,22203.527964060973,54.772687077275265,-75795.42627018271,437029.716945619
US,Gemini,Qwen,4138.213708500003,4.6656825,-9401.894904999936,57436.33215499997
US,Mistral,Claude,2085.3501768128103,1.0743805860326203,-157162.42143824464,211201.8393803166
US,Mistral,Cohere,22856.960101608296,53.66918141817047,-72030.54000314098,445308.0573585136
US,Mistral,Deepseek,22317.640456702757,54.842294613524345,-75918.77537823495,439126.7051778937
US,Mistral,Doubao,19986.70227668145,20.36113374818269,-97190.92272037726,418717.23680354696
US,Mistral,GPT,20358.730861183325,19.742029333596577,-72584.89815347006,437029.716945619
US,Mistral,Gemini,22203.527964060973,54.772687077275265,-75795.42627018271,437029.716945619
US,Mistral,Qwen,853.8370472218439,2.8874748164783726,-51932.35430486781,69490.47688646775
US,Qwen,Claude,-587.403535250005,0.4783524999999992,-22418.654255000118,27046.775415000022
US,Qwen,Cohere,4201.267068750003,4.647,-9581.574999999968,59181.25500000001
US,Qwen,Deepseek,4188.799865000006,4.7124749999999995,-8746.61084999991,57670.339250000034
US,Qwen,Doubao,4190.740740000003,5.005075000000001,-23073.357899999974,56002.34485
US,Qwen,GPT,2627.9019060000055,3.1310724999999993,-9401.894904999936,36425.40000000003
US,Qwen,Gemini,4138.213708500003,4.6656825,-9401.894904999936,57436.33215499997
US,Qwen,Mistral,853.8370472218439,2.8874748164783726,-51932.35430486781,69490.47688646775
