time,model1,model2,avg_rcoeff,median_rcoeff,min_rcoeff,max_rcoeff
yearly,Claude,Cohere,0.287706922569068,0.5666384379955435,-0.6011553485770129,0.8069875609144985
yearly,Claude,Deepseek,0.2854301992156234,0.5611205246103547,-0.6045640013018372,0.7929252662552311
yearly,Claude,Doubao,0.30607080985010726,0.5832088993967446,-0.6102792376799512,0.8250951301087481
yearly,Claude,GPT,0.2927819525810213,0.5627657389985905,-0.6061906931844043,0.7912670323761641
yearly,Claude,Gemini,0.28561380084008126,0.5627657389985905,-0.6061906931844043,0.7912670323761641
yearly,Claude,Mistral,0.2644395127164571,0.4043286023166782,-0.6016137568991017,0.8183300187495852
yearly,Claude,Qwen,0.12128744320582943,-0.0483378665637539,-0.5101051381013478,0.9688201193787342
yearly,Cohere,Claude,0.28770692256906805,0.5666384379955434,-0.6011553485770129,0.8069875609144985
yearly,Cohere,Deepseek,0.9997149613215662,0.99972996601949,0.9993961704686524,0.9999897843412352
yearly,Cohere,Doubao,0.9962837051628284,0.997526718429974,0.9813920696732884,0.9999119239398884
yearly,Cohere,GPT,0.999333891097779,0.9997754584786126,0.995154221838186,0.9999914244449848
yearly,Cohere,Gemini,0.9997410944521111,0.9997754584786126,0.9994290815405612,0.9999914244449848
yearly,Cohere,Mistral,0.9915802137646085,0.9950285371506778,0.973161846624971,0.9987417946320224
yearly,Cohere,Qwen,0.3210566462770394,0.0999653806325563,-0.4460977230018717,0.9999790091289762
yearly,Deepseek,Claude,0.28543019921562335,0.5611205246103546,-0.6045640013018373,0.7929252662552311
yearly,Deepseek,Cohere,0.9997149613215661,0.9997299660194902,0.999396170468652,0.9999897843412348
yearly,Deepseek,Doubao,0.9964965298246564,0.9985123358778528,0.9791536611240564,0.999929229975281
yearly,Deepseek,GPT,0.9996435887955567,0.9999958747432688,0.9962921376208878,0.999999865551532
yearly,Deepseek,Gemini,0.999980480185831,0.9999959058214908,0.9998330349284512,0.999999865551532
yearly,Deepseek,Mistral,0.9924222213841903,0.9950394567928832,0.9742851571335652,0.9993994447865462
yearly,Deepseek,Qwen,0.3193161758517071,0.0727251777825502,-0.4470578513435602,0.9999864289857604
yearly,Doubao,Claude,0.30607080985010726,0.5832088993967445,-0.6102792376799514,0.8250951301087484
yearly,Doubao,Cohere,0.9962837051628284,0.997526718429974,0.9813920696732884,0.9999119239398884
yearly,Doubao,Deepseek,0.9964965298246564,0.9985123358778528,0.9791536611240564,0.9999292299752812
yearly,Doubao,GPT,0.996129628739466,0.9985901198956164,0.9815086285322152,0.9999252361570397
yearly,Doubao,Gemini,0.9966715841322848,0.9985901198956164,0.9815086285322152,0.9999252361570397
yearly,Doubao,Mistral,0.9840008236762916,0.9942888092554713,0.914525952722435,0.9999254235230256
yearly,Doubao,Qwen,0.3221282728579316,0.0847797167858307,-0.42701535619201,0.999887099022092
yearly,GPT,Claude,0.2927819525810213,0.5627657389985905,-0.6061906931844044,0.7912670323761641
yearly,GPT,Cohere,0.999333891097779,0.9997754584786128,0.995154221838186,0.9999914244449848
yearly,GPT,Deepseek,0.9996435887955567,0.9999958747432686,0.9962921376208876,0.999999865551532
yearly,GPT,Doubao,0.996129628739466,0.9985901198956164,0.981508628532215,0.9999252361570397
yearly,GPT,Gemini,0.9996745979349282,1.0,0.9964205772842109,1.0
yearly,GPT,Mistral,0.9918789761881885,0.9954504756139664,0.9715841799139454,0.999374589011366
yearly,GPT,Qwen,0.3185164990649787,0.0731878368936961,-0.447161847826851,0.9999861671326032
yearly,Gemini,Claude,0.2856138008400813,0.5627657389985905,-0.6061906931844044,0.7912670323761641
yearly,Gemini,Cohere,0.9997410944521111,0.9997754584786128,0.9994290815405612,0.9999914244449848
yearly,Gemini,Deepseek,0.999980480185831,0.9999959058214908,0.9998330349284512,0.999999865551532
yearly,Gemini,Doubao,0.9966715841322848,0.9985901198956164,0.981508628532215,0.9999252361570397
yearly,Gemini,GPT,0.9996745979349282,1.0,0.996420577284211,1.0
yearly,Gemini,Mistral,0.9921618838241199,0.9954504756139664,0.9715841799139454,0.999374589011366
yearly,Gemini,Qwen,0.31914378647216124,0.0731878368936961,-0.447161847826851,0.9999861671326032
yearly,Mistral,Claude,0.2644395127164571,0.4043286023166782,-0.6016137568991018,0.8183300187495852
yearly,Mistral,Cohere,0.9915802137646083,0.9950285371506776,0.973161846624971,0.9987417946320224
yearly,Mistral,Deepseek,0.9924222213841903,0.9950394567928832,0.9742851571335652,0.9993994447865462
yearly,Mistral,Doubao,0.9840008236762916,0.9942888092554713,0.914525952722435,0.9999254235230256
yearly,Mistral,GPT,0.9918789761881885,0.9954504756139664,0.9715841799139454,0.999374589011366
yearly,Mistral,Gemini,0.9921618838241199,0.9954504756139664,0.9715841799139454,0.999374589011366
yearly,Mistral,Qwen,0.31568209067151304,0.0495263450584904,-0.4679061648518781,0.9983517833344332
yearly,Qwen,Claude,0.12128744320582946,-0.0483378665637538,-0.5101051381013478,0.968820119378734
yearly,Qwen,Cohere,0.3210566462770394,0.0999653806325563,-0.4460977230018717,0.9999790091289762
yearly,Qwen,Deepseek,0.319316175851707,0.0727251777825502,-0.4470578513435603,0.9999864289857604
yearly,Qwen,Doubao,0.3221282728579316,0.0847797167858307,-0.42701535619201,0.999887099022092
yearly,Qwen,GPT,0.31851649906497864,0.0731878368936961,-0.4471618478268508,0.9999861671326032
yearly,Qwen,Gemini,0.3191437864721612,0.0731878368936961,-0.4471618478268508,0.9999861671326032
yearly,Qwen,Mistral,0.315682090671513,0.0495263450584902,-0.4679061648518781,0.9983517833344332
