industry,model1,model2,avg_rcoeff,median_rcoeff,min_rcoeff,max_rcoeff
tech,Claude,Cohere,0.5249686665784566,0.7143637266691104,-0.6637349119540725,0.9642661342160208
tech,Claude,Deepseek,0.5392058580545597,0.7874488022287178,-0.6592355906304515,0.9791760013057274
tech,Claude,Doubao,0.5762346030951487,0.8349767948457809,-0.561537809656763,0.9775149443206492
tech,Claude,GPT,0.6059029885888091,0.814338488069503,-0.8785412201634487,0.9785628970874976
tech,Claude,Gemini,0.5435692848790403,0.8068502275403695,-0.6596506938803708,0.9785628970874976
tech,Claude,Mistral,0.29658332794027836,0.5804546226695243,-0.9685927069596616,0.9675774923121496
tech,Claude,Qwen,0.4807696068166603,0.8068502275403706,-0.9190308103387924,0.9743473779717836
tech,Cohere,Claude,0.5249686665784566,0.7143637266691105,-0.6637349119540725,0.9642661342160208
tech,Cohere,Deepseek,0.9945390404130998,0.9993662168177846,0.9805806756909198,0.9999897843412352
tech,Cohere,Doubao,0.9816622390696705,0.9950765723784069,0.9183569067832388,0.9995558397521652
tech,Cohere,GPT,0.8591585776528949,0.9936296726039066,-0.0803743594159136,0.9999914244449848
tech,Cohere,Gemini,0.9937765650694864,0.9994457323352208,0.9711059794702716,0.9999914244449848
tech,Cohere,Mistral,0.5656625776390137,0.9658637352733408,-0.9813420644368964,0.9987417946320224
tech,Cohere,Qwen,0.6730341315015308,0.98057864857324,-0.4460977230018717,0.9998178018824914
tech,Deepseek,Claude,0.5392058580545598,0.7874488022287177,-0.6592355906304515,0.9791760013057274
tech,Deepseek,Cohere,0.9945390404130998,0.9993662168177846,0.9805806756909196,0.9999897843412348
tech,Deepseek,Doubao,0.9788063983444517,0.9954404594354184,0.8255198346619419,0.999959185238161
tech,Deepseek,GPT,0.8602970912011553,0.9995671674170468,-0.1292623255714813,0.999999865551532
tech,Deepseek,Gemini,0.998599859854537,0.9999973174434936,0.9804055496716796,0.999999865551532
tech,Deepseek,Mistral,0.5764664503235877,0.9874866545551688,-0.983505833769666,0.9993994447865462
tech,Deepseek,Qwen,0.6694553889036353,0.9920091815464358,-0.4470578513435602,0.9999958060156908
tech,Doubao,Claude,0.5762346030951487,0.8349767948457809,-0.561537809656763,0.9775149443206492
tech,Doubao,Cohere,0.9816622390696705,0.9950765723784066,0.9183569067832388,0.9995558397521652
tech,Doubao,Deepseek,0.9788063983444517,0.9954404594354184,0.825519834661942,0.9999591852381612
tech,Doubao,GPT,0.8745994038095105,0.996967053410514,0.0691914054717037,0.9999811808845576
tech,Doubao,Gemini,0.9799348803344539,0.996967053410514,0.8247001952900139,0.9999811808845576
tech,Doubao,Mistral,0.5424994210999396,0.9846151108336187,-0.9594798091494976,0.9992829565847968
tech,Doubao,Qwen,0.6891725911614881,0.9835742173618512,-0.42701535619201,0.9990288460243424
tech,GPT,Claude,0.6059029885888092,0.814338488069503,-0.8785412201634486,0.9785628970874976
tech,GPT,Cohere,0.859158577652895,0.9936296726039066,-0.0803743594159136,0.9999914244449848
tech,GPT,Deepseek,0.8602970912011554,0.9995671674170468,-0.1292623255714812,0.999999865551532
tech,GPT,Doubao,0.8745994038095105,0.996967053410514,0.0691914054717037,0.9999811808845576
tech,GPT,Gemini,0.8610823939695919,0.9996135718735126,-0.1306824744561964,1.0
tech,GPT,Mistral,0.5384282642409075,0.991493451552488,-0.9836706749865826,0.999374589011366
tech,GPT,Qwen,0.53449538103038,0.9912126753233432,-0.4796261158519048,0.9999918353172416
tech,Gemini,Claude,0.5435692848790403,0.8068502275403695,-0.6596506938803708,0.9785628970874976
tech,Gemini,Cohere,0.9937765650694864,0.9994457323352206,0.9711059794702716,0.9999914244449848
tech,Gemini,Deepseek,0.998599859854537,0.9999973174434936,0.9804055496716796,0.999999865551532
tech,Gemini,Doubao,0.9799348803344538,0.996967053410514,0.8247001952900139,0.9999811808845576
tech,Gemini,GPT,0.8610823939695919,0.9996135718735129,-0.1306824744561963,1.0
tech,Gemini,Mistral,0.5770300832708305,0.9921232397268168,-0.9831355662909008,0.999374589011366
tech,Gemini,Qwen,0.670703485103079,0.9996309261834928,-0.447161847826851,1.0
tech,Mistral,Claude,0.2965833279402784,0.5804546226695243,-0.9685927069596616,0.9675774923121496
tech,Mistral,Cohere,0.5656625776390137,0.9658637352733408,-0.9813420644368964,0.9987417946320224
tech,Mistral,Deepseek,0.5764664503235877,0.9874866545551688,-0.983505833769666,0.9993994447865462
tech,Mistral,Doubao,0.5424994210999396,0.9846151108336187,-0.9594798091494976,0.9992829565847968
tech,Mistral,GPT,0.5384282642409075,0.991493451552488,-0.9836706749865828,0.999374589011366
tech,Mistral,Gemini,0.5770300832708305,0.9921232397268166,-0.9831355662909008,0.999374589011366
tech,Mistral,Qwen,0.3320048801468944,0.9496515963396908,-0.949972992376292,0.9992059566250102
tech,Qwen,Claude,0.4807696068166603,0.8068502275403706,-0.9190308103387924,0.9743473779717834
tech,Qwen,Cohere,0.6730341315015308,0.98057864857324,-0.4460977230018717,0.9998178018824914
tech,Qwen,Deepseek,0.6694553889036353,0.9920091815464358,-0.4470578513435603,0.9999958060156908
tech,Qwen,Doubao,0.6891725911614881,0.9835742173618512,-0.42701535619201,0.9990288460243426
tech,Qwen,GPT,0.53449538103038,0.991212675323343,-0.4796261158519048,0.9999918353172418
tech,Qwen,Gemini,0.670703485103079,0.9996309261834928,-0.4471618478268508,1.0
tech,Qwen,Mistral,0.33200488014689433,0.9496515963396908,-0.949972992376292,0.9992059566250102
