country,model1,model2,avg_covariance,median_covariance,min_covariance,max_covariance
China,Claude,Cohere,526.6571824999999,11.15265,-295.52500000000026,5338.296749999999
China,Claude,Deepseek,542.0642549999999,13.738200000000003,-448.59900000000005,5316.6105
China,Claude,Doubao,609.3294,20.420375000000007,-102.63864999999996,5597.4105
China,Claude,GPT,593.21635625,38.554399999999916,-5.460800000000002,5279.9975
China,Claude,Gemini,537.99641375,13.606612499999999,-445.57200000000023,5279.9975
China,Claude,Mistral,281.52500305470625,35.596580815829014,-4417.74679923364,5173.728834692599
China,Claude,Qwen,370.63366024999993,12.931252499999998,-900.3636700000003,5448.4094749999995
China,Cohere,Claude,526.6571824999999,11.15265,-295.52500000000026,5338.296749999999
China,Cohere,Deepseek,1247.7112499999998,68.93749999999997,0.11200000000000095,13929.833999999999
China,Cohere,Doubao,1260.837975,73.485,0.06900000000000076,14796.0565
China,Cohere,GPT,1133.1072375,62.93199999999999,-8.507500000000014,13830.876000000002
China,Cohere,Gemini,1238.7511625000002,68.342,0.11300000000000032,13830.876000000002
China,Cohere,Mistral,1028.1963136170627,14.522761485906823,-3519.9854634547264,13791.218608331952
China,Cohere,Qwen,799.272825,51.781124999999996,-2456.8210000000004,14193.4721
China,Deepseek,Claude,542.0642549999999,13.738200000000003,-448.59900000000005,5316.6105
China,Deepseek,Cohere,1247.7112499999998,68.93749999999997,0.11200000000000095,13929.833999999999
China,Deepseek,Doubao,1301.384925,89.02949999999998,0.09600000000000075,14792.717
China,Deepseek,GPT,1164.426145,64.29475,-16.091949999999994,13827.748
China,Deepseek,Gemini,1295.2124025,80.10912499999998,0.15450000000000055,13827.748
China,Deepseek,Mistral,1122.9490667403265,12.595195209466675,-3354.357550622921,13789.92934944532
China,Deepseek,Qwen,834.1474924999999,51.946124999999995,-2464.4753499999997,14190.128299999998
China,Doubao,Claude,609.3294,20.420375000000007,-102.63864999999996,5597.4105
China,Doubao,Cohere,1260.837975,73.485,0.06900000000000076,14796.0565
China,Doubao,Deepseek,1301.384925,89.02949999999998,0.09600000000000075,14792.717
China,Doubao,GPT,1229.4793750000001,77.10794999999999,0.09950000000000007,14687.543000000001
China,Doubao,Gemini,1291.9573175,88.69819999999999,0.09899999999999998,14687.543000000001
China,Doubao,Mistral,646.3478671866839,3.769137289526358,-5824.544165452115,14653.969487893486
China,Doubao,Qwen,880.222685,65.328225,-2484.8775500000006,15072.0828
China,GPT,Claude,593.2009557499999,38.554399999999916,-5.460800000000002,5279.9975
China,GPT,Cohere,1133.0687875,62.93199999999999,-8.507500000000014,13830.876000000002
China,GPT,Deepseek,1164.3863099999999,64.29475,-16.091949999999994,13827.748
China,GPT,Doubao,1229.4419050000001,77.10794999999999,0.09950000000000007,14687.543000000001
China,GPT,Gemini,1155.9158030000003,63.844214999999984,-16.155680000000018,13729.492000000004
China,GPT,Mistral,853.3551228593817,1.2354720006931001,-1892.2639391314558,13691.483897828013
China,GPT,Qwen,824.0451455,35.275075,-2447.871595,14089.291200000001
China,Gemini,Claude,537.99641375,13.606612499999999,-445.57200000000023,5279.9975
China,Gemini,Cohere,1238.7511625000002,68.342,0.11300000000000032,13830.876000000002
China,Gemini,Deepseek,1295.2124025,80.10912499999998,0.15450000000000055,13827.748
China,Gemini,Doubao,1291.9573175,88.69819999999999,0.09899999999999998,14687.543000000001
China,Gemini,GPT,1155.9554900000003,63.844214999999984,-16.155680000000018,13729.492000000004
China,Gemini,Mistral,1114.8551015379246,12.403119218950227,-3324.7260569653617,13691.483897828013
China,Gemini,Qwen,827.9693965,51.54768249999999,-2447.871595,14089.291200000001
China,Mistral,Claude,281.52500305470625,35.596580815829014,-4417.74679923364,5173.728834692599
China,Mistral,Cohere,1028.1963136170627,14.522761485906823,-3519.9854634547264,13791.218608331952
China,Mistral,Deepseek,1122.9490667403265,12.595195209466675,-3354.357550622921,13789.92934944532
China,Mistral,Doubao,646.3478671866839,3.769137289526358,-5824.544165452115,14653.969487893486
China,Mistral,GPT,853.3756907522395,1.4980215342887473,-1892.2639391314558,13691.483897828013
China,Mistral,Gemini,1114.8551015379246,12.403119218950227,-3324.7260569653617,13691.483897828013
China,Mistral,Qwen,230.21006951284068,4.125928536553489,-7129.33416187607,14051.13737576297
China,Qwen,Claude,370.63366024999993,12.931252499999998,-900.3636700000003,5448.4094749999995
China,Qwen,Cohere,799.272825,51.781124999999996,-2456.8210000000004,14193.4721
China,Qwen,Deepseek,834.1474924999999,51.946124999999995,-2464.4753499999997,14190.128299999998
China,Qwen,Doubao,880.222685,65.328225,-2484.8775500000006,15072.0828
China,Qwen,GPT,824.0840235000002,35.275075,-2447.871595,14089.291200000001
China,Qwen,Gemini,827.9693965,51.54768249999999,-2447.871595,14089.291200000001
China,Qwen,Mistral,230.21006951284068,4.125928536553489,-7129.33416187607,14051.13737576297
