time,model1,model2,avg_covariance,median_covariance,min_covariance,max_covariance
monthly,Claude,Cohere,-961.3499954545453,0.12599999999999767,-12638.984999999997,1701.5674999999997
monthly,Claude,Deepseek,-893.1025909090932,0.22069999999999412,-12248.354750000024,2033.8474999999992
monthly,Claude,Doubao,-566.0555772727267,0.14410000000000267,-8557.439699999994,1944.3445499999993
monthly,Claude,GPT,-158.7754863636362,0.2549499999999991,-4178.2199999999975,2026.9734999999996
monthly,Claude,Gemini,-910.2569272727264,0.17527999999999677,-12413.928459999992,2016.0213999999996
monthly,Claude,Mistral,-1378.6368079640695,0.5578458242167521,-17760.6456258119,2158.749145450041
monthly,Claude,Qwen,-913.8976945454552,0.26047500000000157,-12519.013285000006,2070.429254999999
monthly,Cohere,Claude,-961.3499954545453,0.12599999999999767,-12638.984999999997,1701.5674999999997
monthly,Cohere,Deepseek,5573.69572727273,9.777499999999998,0.6189999999999998,57769.00000000003
monthly,Cohere,Doubao,5400.425727272727,9.112499999999999,0.7435000000000003,56073.85
monthly,Cohere,GPT,2767.3480454545456,4.475,0.10700000000000039,26947.5
monthly,Cohere,Gemini,5549.980809090906,9.696499999999997,0.6291999999999998,57534.85499999997
monthly,Cohere,Mistral,6681.022302864049,9.650514672994131,-1.0348337163326695,69744.21537033406
monthly,Cohere,Qwen,5705.782140909091,9.679749999999999,0.5908,59181.25500000001
monthly,Deepseek,Claude,-893.1025909090932,0.22069999999999412,-12248.354750000024,2033.8474999999992
monthly,Deepseek,Cohere,5573.69572727273,9.777499999999998,0.6189999999999998,57769.00000000003
monthly,Deepseek,Doubao,5311.443363636365,9.352499999999997,0.7054999999999997,54667.98000000002
monthly,Deepseek,GPT,2739.655000000001,4.43,0.10850000000000043,26194.25000000001
monthly,Deepseek,Gemini,5457.9877181818165,10.363700000000005,0.6083499999999994,56078.18524999999
monthly,Deepseek,Mistral,6590.557199097817,9.902069635068969,-0.9406471904926421,68277.03687096201
monthly,Deepseek,Qwen,5610.1258227272765,10.23505,0.5711499999999998,57670.339250000034
monthly,Doubao,Claude,-566.0555772727267,0.14410000000000267,-8557.439699999994,1944.3445499999993
monthly,Doubao,Cohere,5400.425727272727,9.112499999999999,0.7435000000000003,56073.85
monthly,Doubao,Deepseek,5311.443363636365,9.352499999999997,0.7054999999999997,54667.98000000002
monthly,Doubao,GPT,2669.053545454545,3.9224999999999985,0.12150000000000064,25645.324999999997
monthly,Doubao,Gemini,5286.957645454542,9.280749999999996,0.7231499999999998,54427.88259999996
monthly,Doubao,Mistral,6377.970344464672,9.595157626239214,-1.085076026882505,66181.96802772887
monthly,Doubao,Qwen,5437.132100000001,9.241249999999999,0.6883500000000004,56002.34485
monthly,GPT,Claude,-158.8034872727271,0.2549499999999991,-4178.2199999999975,2026.9734999999996
monthly,GPT,Cohere,2767.2781363636363,4.475,0.10700000000000039,26947.5
monthly,GPT,Deepseek,2739.5825727272736,4.43,0.10850000000000043,26194.25000000001
monthly,GPT,Doubao,2668.985418181818,3.9224999999999985,0.12150000000000064,25645.324999999997
monthly,GPT,Gemini,2727.449759999998,4.3972500000000005,0.11055000000000068,26091.58499999998
monthly,GPT,Mistral,3047.1238245753166,3.770673118558666,-0.4549648401528573,29345.186856634824
monthly,GPT,Qwen,2823.9370945454557,4.438250000000001,0.08695000000000039,27071.12250000001
monthly,Gemini,Claude,-910.2569272727264,0.17527999999999677,-12413.928459999992,2016.0213999999996
monthly,Gemini,Cohere,5549.980809090906,9.696499999999997,0.6291999999999998,57534.85499999997
monthly,Gemini,Deepseek,5457.9877181818165,10.363700000000005,0.6083499999999994,56078.18524999999
monthly,Gemini,Doubao,5286.957645454542,9.280749999999996,0.7231499999999998,54427.88259999996
monthly,Gemini,GPT,2727.5219181818165,4.3972500000000005,0.11055000000000068,26091.58499999998
monthly,Gemini,Mistral,6558.328381341398,9.815399257189586,-0.9506183082872953,67955.25973548468
monthly,Gemini,Qwen,5586.0097263636335,10.167494999999997,0.5852699999999996,57436.33215499997
monthly,Mistral,Claude,-1378.6368079640695,0.5578458242167521,-17760.6456258119,2158.749145450041
monthly,Mistral,Cohere,6681.022302864049,9.650514672994131,-1.0348337163326695,69744.21537033406
monthly,Mistral,Deepseek,6590.557199097817,9.902069635068969,-0.9406471904926421,68277.03687096201
monthly,Mistral,Doubao,6377.970344464672,9.595157626239214,-1.085076026882505,66181.96802772887
monthly,Mistral,GPT,3047.1612207441485,3.770673118558666,-0.5687060501910717,29345.186856634824
monthly,Mistral,Gemini,6558.328381341398,9.815399257189586,-0.9506183082872953,67955.25973548468
monthly,Mistral,Qwen,6705.538576892129,9.772740453515395,-0.9897119814542212,69490.47688646775
monthly,Qwen,Claude,-913.8976945454552,0.26047500000000157,-12519.013285000006,2070.429254999999
monthly,Qwen,Cohere,5705.782140909091,9.679749999999999,0.5908,59181.25500000001
monthly,Qwen,Deepseek,5610.1258227272765,10.23505,0.5711499999999998,57670.339250000034
monthly,Qwen,Doubao,5437.132100000001,9.241249999999999,0.6883500000000004,56002.34485
monthly,Qwen,GPT,2824.007781818182,4.438250000000001,0.08695000000000039,27071.12250000001
monthly,Qwen,Gemini,5586.0097263636335,10.167494999999997,0.5852699999999996,57436.33215499997
monthly,Qwen,Mistral,6705.538576892129,9.772740453515395,-0.9897119814542212,69490.47688646775
